obs,timestamp,t11,h11,t12,h12,t13,h13,t14,h14,t15,h15,t16,h16,t17,h17,Lascar t,Lascar h
1,2/7/22 18:41,21.2,56.5,21.1,58.1,21.3,58.3,21.3,58.2,21.3,58.5,21.7,67,21.9,63.2,21.5,60.5
2,2/7/22 18:42,21.3,56.2,21.2,57.8,21.3,58.5,21.3,58.2,21.4,58.6,21.8,66.6,21.9,63.1,22,60.5
3,2/7/22 18:43,21.3,57.3,21.3,58.7,21.4,58.1,21.4,57.8,21.4,58,21.9,65.7,22,62.8,22,61
4,2/7/22 18:44,21.3,64,21.3,64.8,21.4,59.1,21.4,58.8,21.4,59.1,21.9,67.1,22,63.7,22,63.5
5,2/7/22 18:45,21.4,69.1,21.4,70.2,21.5,65.4,21.5,65.4,21.5,65.7,21.8,73.3,22,69.1,22,66.5
6,2/7/22 18:46,21.5,71.2,21.5,72.1,21.5,70.8,21.5,70.9,21.5,71.2,22.1,78.8,22,74.4,22,69
7,2/7/22 18:47,21.5,72.9,21.5,73.6,21.5,72.5,21.6,72.2,21.7,72.3,22.1,80.1,22.2,76.1,22,70
8,2/7/22 18:48,21.5,74,21.5,74.7,21.7,74.1,21.7,73.8,21.7,74.1,22.2,81.4,22.3,77.1,22,71
9,2/7/22 18:49,21.6,77.1,21.6,77.5,21.7,75.2,21.7,75,21.7,75.2,22.2,82.5,22.3,78.2,22.5,72.5
10,2/7/22 18:50,21.7,81.7,21.7,81.8,21.7,78.2,21.8,78.1,21.7,78.2,22.2,84.8,22.3,80.6,22.5,74.5
11,2/7/22 18:51,21.7,84,21.7,84.2,21.8,82.4,21.9,82.1,21.9,82.3,22.2,87.7,22.5,83.3,22.5,76.5
12,2/7/22 18:52,21.8,86.6,21.7,86.4,21.9,85.1,21.9,85,21.9,85.3,22.4,90.3,22.5,85.5,22.5,78.5
13,2/7/22 18:53,21.9,88.5,21.9,88.4,21.9,87.4,21.9,87.4,21.9,88,22.5,93,22.6,87.4,22.5,80
14,2/7/22 18:54,21.9,90,21.9,89.8,22,89.5,22,89.6,22,90.5,22.5,95,22.6,89.3,22.5,81
15,2/7/22 18:55,22,90.6,22,90.6,22,91,22.1,91.2,22.1,92,22.6,96.4,22.7,90.8,22.5,82.5
16,2/7/22 18:56,22.1,91.3,22.1,91.4,22.1,91.7,22.2,91.6,22.1,92.3,22.6,96.8,22.7,91.4,23,83
17,2/7/22 18:57,22.2,91.1,22.1,91.5,22.2,92.6,22.2,92.5,22.2,93.2,22.7,97.9,22.8,92.4,23,83.5
18,2/7/22 18:58,22.2,91,22.1,91.6,22.2,92.6,22.3,92.3,22.2,92.9,22.6,97.7,22.8,92.2,23,83.5
19,2/7/22 18:59,22.2,90.6,22.1,91.4,22.2,92.7,22.3,92.3,22.3,93,22.7,97.7,22.8,92.4,23,83.5
20,2/7/22 19:00,22.2,90.2,22.1,91.2,22.3,92.5,22.3,92,22.3,92.6,22.7,97.6,22.9,91.9,23,83.5
21,2/7/22 19:01,22.1,76.2,22.1,82.2,22.3,92.1,22.3,91.5,22.3,92.1,22.7,97.1,22.8,91.7,23,82
22,2/7/22 19:02,22,60.5,22,64.4,22.2,81.4,22.3,78.2,22.3,77.2,22.6,86.1,22.8,82.7,23,73
23,2/7/22 19:03,21.9,56.2,22,59.2,22.2,66,22.2,66.4,22.2,67.2,22.5,75.6,22.7,71.4,23,67.5
24,2/7/22 19:04,21.9,53.5,21.9,56.1,22.1,60.5,22.2,60.7,22.1,61.9,22.5,70.2,22.6,66.8,23,64
25,2/7/22 19:05,21.9,53.9,21.9,56,22.1,57.3,22.1,57.8,22.1,59,22.4,65.8,22.6,62.8,23,62.5
